address,tel,name,locality,country,latitude,longitude,postcode,factual_id
Governors Is,(212) 440-2200,Governors Island,New York,us,40.69284,-74.01628,10004,a16f35fb-bf96-40a9-9a60-95cb901b8890
365 Van Brunt St,(347) 453-6672,Fort Defiance,Brooklyn,us,40.676654,-74.013519,11231,104fe7ab-3fca-45ca-b056-562d47cd548c
359 Van Brunt St,(718) 222-0345,Baked,Brooklyn,us,40.676897,-74.013277,11231,09219557-5cb8-4f80-a748-63a67be06003
24 Reed St,(718) 643-2722,Brooklyn Crab,Brooklyn,us,40.675264,-74.016715,11231,41af2dbb-b1cb-4c09-961e-dbc35e22df41
284 Van Brunt St,(646) 326-7650,Red Hook Lobster Pound,Brooklyn,us,40.679771,-74.010257,11231,2041ffca-cc18-4c23-894e-b0a112d3be3b
347 Van Brunt St,(718) 237-0276,Hope & Anchor,Brooklyn,us,40.677186,-74.012884,11231,01bbf723-c76a-4247-8ff9-bb09af6aa873
318 Van Brunt St,(718) 222-1865,Brooklyn Ice House,Brooklyn,us,40.679144,-74.011077,11231,15614605-5e31-4262-9a9c-074736c711d5
Governors Is,(718) 596-8335,Little Eva's,New York,us,40.689234,-74.017999,10004,1de161d0-438f-435a-a05e-5444c73b0b71
293 Van Brunt St,(347) 223-4135,Home/Made,Brooklyn,us,40.678748,-74.011095,11231,71f2f4b0-bef8-012e-5614-003048cad9da
277A Van Brunt St,(718) 596-8335,Kevin's,Brooklyn,us,40.679129,-74.010546,11231,99252b85-d52f-45b7-97a8-0257ee897f13
34 Van Dyke St,(718) 246-8050,Rocky Sullivan's,Brooklyn,us,40.673752,-74.011814,11231,4b86d543-fa7b-40cd-a05f-49e2efcf85a3
116 Sullivan St,(347) 529-6803,Court Street Grocers Hero Shop,Brooklyn,us,40.678502,-74.013118,11231,6e95ab76-5522-4d50-b844-5fbeb3d1992a
454 Van Brunt St,(347) 294-4644,Hometown Bar-B-Que,Brooklyn,us,40.674886,-74.016119,11231,93a6e2f6-4a02-46b2-b45a-8c899ed9703e
320 Van Brunt St,(718) 451-4665,Red Hook Bait & Tackle,Brooklyn,us,40.679019,-74.011032,11231,ec0f985b-4c63-4933-8181-d651f531a5ce
326 Van Brunt St,(718) 624-0690,Mark's Pizza,Brooklyn,us,40.678747,-74.011463,11231,049571a7-0d41-4c7f-b5cd-cb62d1c3b767
204 Van Dyke St,(718) 858-5333,Steve's Authentic Key Lime Pies,Brooklyn,us,40.677617,-74.018145,11231,2c8098b9-301f-438c-aad0-01c252db3ec1
391 Van Brunt St,(718) 643-6636,The Good Fork,Brooklyn,us,40.675968,-74.014255,11231,1bb43a7e-a343-4220-af70-ce68e4312996
253 Conover St,(718) 625-8211,Sunny's Bar,Brooklyn,us,40.675705,-74.016835,11231,b29c4b84-5c2d-476e-8a19-4191f9be8f29
Governors Is,(212) 896-4600,Governors Beach Club,New York,us,40.693109,-74.016147,10004,b5310522-ee49-4cdf-a3a7-be4369454ea4
275 Van Brunt St,(718) 909-2881,Grindhaus,Brooklyn,us,40.679161,-74.010566,11231,c40c64d3-efae-4c67-a8a1-5cfb0f1c3540
220 Conover St,(718) 797-2297,Botanica,Brooklyn,us,40.677248,-74.01542,11231,127997aa-9db4-4290-9a67-5a50cbf0a429
